source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence
Iridium Communications Inc.,Company,PARTNERED_WITH,Smithsonian Institution,Company,f72955d8ffe5ac53791f::c0000,2022-12-14,Iridium Communications Inc. announced it has created a program in support of the Smithsonian Institution's Movement of Life Initiative.,1.0
Crexendo,Company,PARTNERED_WITH,Jenne Inc.,Company,391d8c6c09f3574ace59::c0000,2023-04-19,Crexendo announced that Jenne Cloud Services Brokerage is a new Technology Services Brokerage for its VIP Business Communications Platform.,1.0
AGC Biologics,Company,PARTNERED_WITH,Gore,Company,43bdd40313e396c6a385::c0000,2022-12-12,AGC Biologics and Gore Collaborate on New Protein A-based Purification Technology.,1.0
Kyndryl,Company,DEVELOPED,Kyndryl Bridge,Technology,94a62a94ab16d915b043::c0000,2023-07-21,Kyndryl Bridge provides new way to manage technology services.,1.0
Ann Lewis,Person,WORKED_AT,GSA’s Technology Transformation Services,Technology,bc6b456aa5e8126cdfe6::c0000,2022-12-05,Ann Lewis as director of Technology Transformation Services at the General ...,1.0
LeanTaaS,Company,ACQUIRED,Hospital IQ,Company,99f8ce77e2f393b9bdc5::c0000,2023-01-10,LeanTaaS Acquires Hospital IQ to Create AI Innovator for Hospital Operations Optimization.,1.0
Synechron,Company,ACQUIRED,Attra,Company,ad39674c1e91442967c9::c0000,2023-01-10,Synechron Completes Integration of Payments Services and Solutions Provider Attra.,1.0
Citi,Company,DEVELOPED,Citi Token Services,Technology,3ac1a0d4fdc98952e374::c0000,2023-09-26,Citi has launched a token service using blockchain technology.,1.0
ATS Corporation,Company,ACQUIRED,Odyssey,Company,ef0b07436a0a914a91f5::c0000,2023-07-19,ATS Corporation Acquires Life Science Digitalization Solutions Provider Odyssey.,1.0
Prolucent,Company,PARTNERED_WITH,UKG,Company,67de1c052ef8ee466663::c0000,2023-09-06,Prolucent and UKG Announce Technology Integration Partnership.,1.0
Janet Zelenka,Person,WORKED_AT,Stericycle,Company,865c9af63776d20d05bf::c0000,2023-05-30,Stericycle Chief Financial Officer and Chief Information Officer Janet Zelenka Wins 2023 Bronze Stevie® Award for Technology Executive of the Year.,1.0
Amazon Web Services (AWS),Company,USES,Artificial Intelligence (AI)/machine learning (ML) technology,Technology,4c8e9044ab0a5a6808a6::c0000,2022-12-29,Through their Artificial Intelligence (AI)/machine learning (ML) technology they help businesses like ADP.,1.0
NaaS Technology Inc.,Company,WORKED_AT,Alex Wu,Person,6f26357f3b491431d308::c0000,2022-12-31,NaaS Technology Inc. Announces Appointment of Alex Wu as Chief Financial Officer President and Director.,1.0
Freshworks Inc.,Company,DEVELOPED,AI-Powered Customer Service Suite,Technology,99960131a7d0ad05e9a8::c0000,2022-12-13,Freshworks Inc. (NASDAQ: FRSH) today announced the launch of its AI-powered Customer Service Suite.,1.0
Fidelity National Information Services Inc.,Company,ACQUIRED,Worldpay,Company,e932445090da75b8ccf6::c0000,2022-12-15,the company sought to widen its reach with the acquisition of Cincinnati-based Worldpay and its technology services for merchants.,1.0
Dr. DeAngela Burns-Wallace,Person,WORKED_AT,Office of Information Technology Services,Company,c5db2bd7139995b91931::c0000,2022-12-05,Dr. Burns-Wallace also has led the Office of Information Technology Services as Chief Information Technology Officer (CITO).,1.0
NEC Ibérica,Company,PARTNERED_WITH,NEC Laboratories Europe,Company,7c5e88e7b3e60a535fa2::c0000,2022-12-06,NEC Ibérica and NEC Laboratories Europe advance data space and 5G technology research.,1.0
Eseye,Company,DEVELOPED,Managed IoT Connectivity Services,Technology,7a5d5318675abc95f53b::c0000,2023-02-01,Eseye a pioneer of integrated cellular IoT connectivity solutions today announced that it has been positioned by Gartner® as a Visionary in the 2023 Magic Quadrant™ for Managed IoT Connectivity Services.,1.0
KPI Solutions,Company,LEADS,Chris Barber,Person,ab1d771b4619c4a10e5a::c0000,2023-06-05,Chris Barber leads the eastern regional team,1.0
Synopsys,Company,PARTNERED_WITH,TSMC,Company,f97319155372aaf4ff0d::c0000,2023-05-02,Synopsys has recently announced its collaboration with TSMC,1.0
Celonis,Company,PARTNERED_WITH,Tech Mahindra,Company,f58908ba6f80b8ed6e3c::c0000,2023-02-16,Celonis and Tech Mahindra have also embarked on a journey to co-create solutions,1.0
KKR,Company,INVESTED_IN,CoolIT Systems,Company,15499a6ad60f9ef2500b::c0000,2023-05-02,Investment firm will acquire CoolIT Systems,1.0
Syzygy Plasmonics,Company,PARTNERED_WITH,Emerson,Company,a75590d21e68cf765c79::c0000,2023-05-15,Syzygy Plasmonics Selects Emerson to Automate Electrification,1.0
IFI Techsolutions,Company,WORKED_AT,Microsoft,Company,f2a20c3f98c3fb8dc3cc::c0000,2023-05-15,As a global Microsoft partner IFI Techsolutions continues to verify its excellence,1.0
Leo Howell,Person,WORKED_AT,Institute,Company,e2d62731f2691c8351bb::c0000,2023-06-12,Leo Howell will join the president’s cabinet as the interim vice president for Information Technology and chief information officer for the Institute.,1.0
Smart Eye,Company,DEVELOPED,Driver Monitoring System (DMS),Technology,452645a488a55910006f::c0000,2023-06-26,Smart Eye the leading developer of Driver Monitoring System (DMS) technology to the automotive industry today announced it has signed a breakthrough.,1.0
Polso™,Technology,DEVELOPED,Remote Patient Monitoring (RPM),Technology,302c68cfcdef99cf0eb7::c0000,2022-12-06,Polso™ the company's Remote Patient Monitoring (RPM) solution achieving 510(k) clearance from the U.S. Food and Drug Administration (FDA).,1.0
Microsoft,Company,PARTNERED_WITH,Viasat,Company,33f76af2d7f1afee070c::c0000,2022-12-14,Microsoft and Viasat announce new partnership to deliver internet access to underserved communities globally.,1.0
Data Innovations,Company,DEVELOPED,Instrument Manager™ 2023,Technology,b79a700c32d38dfbb808::c0000,2023-07-20,Data Innovations Announces New Generation of Lab Productivity Software with Instrument Manager™ 2023.,1.0
Vishnu Sundaram,Person,WORKED_AT,Stellantis,Company,27fac80a97eee4ee8fde::c0000,2023-08-05,Vishnu Sundaram is leaving Vishnu Sundaram's job as Stellantis senior vice president of cockpit and connected services.,1.0
Dubai Electricity and Water Authority (DEWA),Company,USES,ChatGPT technology,Technology,ebe57b3790f81ceb3734::c0000,2023-02-09,DEWA is the first utility in the world to enrich its services with ChatGPT technology.,1.0
Saeed Mohammed Al Tayer,Person,WORKED_AT,Dubai Electricity and Water Authority (DEWA),Company,ebe57b3790f81ceb3734::c0000,2023-02-09,Saeed Mohammed Al Tayer MD & CEO of Dubai Electricity and Water Authority (DEWA) announced that DEWA is working to enrich its services with ChatGPT technology supported by Microsoft.,1.0
L&T Technology Services,Company,PARTNERED_WITH,Qualcomm,Company,566e41efa663f190cf11::c0000,2023-02-23,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways.,1.0
Thales,Company,PARTNERED_WITH,L&T Technology Services,Company,566e41efa663f190cf11::c0000,2023-02-23,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways.,1.0
Apogee,Company,ACQUIRED,Cumulus Technology Services,Company,8558ae812cf7531af5ad::c0000,2022-12-16,Apogee Acquires Cumulus Technology Services.,1.0
Start Campus,Company,PARTNERED_WITH,Colt Technology Services,Company,0dada0b4eeb22de7f0e3::c0000,2023-09-26,Start Campus Announces Partnership with Colt Technology Services.,1.0
L&T Technology Services,Company,PARTNERED_WITH,Qualcomm,Company,aae0cde6aa5936507114::c0000,2023-02-23,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks.,1.0
Raleon,Company,FOUNDED,Nathan Snell,Person,b78a3e8e1fbfd8bed3f1::c0000,2023-08-25,Nathan Snell co-founder and CEO of Wilmington-based Raleon.,1.0
o9 Solutions,Company,PARTNERED_WITH,Telangana Government,Company,41bcc9438630e1ac3cd8::c0000,2023-08-27,o9 Solutions Announces Hyderabad Office and Strategic Partnership With Telangana Government.,1.0
Shipsy,Company,ACQUIRED,Stockone,Company,d4390fbeda5c6c8aee51::c0000,2023-10-26,Shipsy Completes Stockone Acquisition,1.0
Squeeze,Company,ACQUIRED,Youtility,Company,e6fe754774c1e887b74f::c0000,2023-10-26,Youtility UK Fintech Switching Platform Acquired by Squeeze,1.0
Christopher Kirchner,Person,WORKED_AT,Slync,Company,a173bd25c1a7d148ccb5::c0000,2023-10-27,co-founder and former CEO Christopher Kirchner,1.0
Altitude Angel,Company,PARTNERED_WITH,Saab,Company,d4bf78236de2014d810a::c0000,2022-12-06,Altitude Angel and Saab to partner on Digital Tower technology,1.0
Pavion,Company,ACQUIRED,K&J Integrated Systems,Company,81c46f857ea3e5e7aca2::c0000,2023-07-18,Pavion Acquires K&J Integrated Systems.,1.0
L&T Technology Services,Company,PARTNERED_WITH,Airbus,Company,27eb86bc517fa9da3bea::c0000,2023-01-20,L&T Technology Services Selected as Strategic Engineering Partner to Airbus for Advanced Capabilities and Digital Manufacturing Services.,1.0
Synechron,Company,PARTNERED_WITH,VisionGroup,Company,2b46329dfa395cdd1731::c0000,2023-07-12,Synechron and VisionGroup Partner to Leverage dataSense.,1.0
Synechron,Company,DEVELOPED,dataSense,Technology,2b46329dfa395cdd1731::c0000,2023-07-12,Leverage dataSense. Enhanced Data Management Tool,1.0
Ceinsys Tech Ltd,Company,FOUNDED,25 Years,Technology,f83974ad32c352a2bc19::c0000,2023-07-10,celebrates 25 Years of Enhancing Possibilities,1.0
Associated Press,Company,PARTNERED_WITH,OpenAI,Company,67f61078101e32548302::c0000,2023-07-13,AP Open AI agree to share select news content and technology,1.0
General Motors,Company,ACQUIRED,information technology center,Technology,9ffda011e882d99077a4::c0000,2023-08-24,General Motors to close information technology center near Phoenix and eliminate 940 jobs.,1.0
MEF,Company,DEVELOPED,SASE Product and Services Certification,Technology,4a67a8e832498753f8f3::c0000,2023-10-03,16 Leading Technology and Service Providers Launch Industry's First SASE Product and Services Certification.,1.0
Senzary LLC,Company,FOUNDED,Eric Schummer,Person,1f966db1e28d1122c747::c0000,2023-01-24,we spoke with Eric Schummer the founder and CEO of Senzary LLC.,1.0
Aqara,Company,PARTNERED_WITH,Samsung,Company,3387461d5f34cf26d922::c0000,2023-10-05,Aqara's latest occupancy sensor has been working with Samsung to add the SmartThings compatibility.,1.0
stow Robotics,Company,PARTNERED_WITH,Phononic,Company,7a2aa73c4efd65b86ed3::c0000,2023-01-31,stow Robotics and cooling vendor Phononic partner on cold-chain fulfillment.,1.0
Salesforce,Company,USES,Onfido,Technology,5d1b820633fed409a90e::c0000,2023-05-05,Salesforce is boosting its Know Your Customer (KYC) capabilities by integrating with Onfido.,1.0
Andrew Ellam,Person,WORKED_AT,Climate X,Company,3b246fb9ef650e580f3c::c0000,2023-01-17,Climate X a Climate Risk Data and Analytics Provider Appoints Andrew Ellam as VP of Technology.,1.0
Juniper Networks,Company,PARTNERED_WITH,Deutsche Telekom,Company,3e7c45346a95726c2d85::c0000,2023-01-05,Juniper Networks Selected as Preferred Technology Partner for Deutsche Telekom’s Universal Managed Services Infrastructure.,1.0
Opsys Tech,Company,DEVELOPED,LiDAR-integrated Intelligent Automotive Taillight Solution,Technology,8b7cb645691ae062d526::c0000,2023-01-03,Opsys Tech to Display LiDAR-Integrated Intelligent Automotive Taillight Solution Co-Developed with South Korean Auto Supplier SL Corp.,1.0
Opsys Tech,Company,PARTNERED_WITH,SL Corp.,Company,8b7cb645691ae062d526::c0000,2023-01-03,co-Developed with South Korean Auto Supplier SL Corp.,1.0
Deloitte,Company,PARTNERED_WITH,ServiceNow,Company,eb746e73990fceb34bd5::c0000,2023-10-26,Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities.,1.0
Evernorth Health Services,Company,ACQUIRED,Bright.md,Technology,2e7b477d4cf02b299c80::c0000,2023-10-10,Evernorth Health Services Buys Bright.md Technology Platform.,1.0
Costa Coffee,Company,PARTNERED_WITH,Vista Technology,Company,cee885efbfc10d2cc5b5::c0000,2023-09-29,Costa is thrilled to welcome Vista Technology as Costa Coffee's new retail stores break-fix provider.,1.0
L&T Technology Services,Company,PARTNERED_WITH,Palo Alto Networks,Company,227844974155bca2484d::c0000,2023-06-30,L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings.,1.0
Ryan Specialty,Company,ACQUIRED,Socius Insurance Services,Company,331537d8f978a369b442::c0000,2023-05-23,Ryan Specialty has signed a definitive agreement to acquire Socius Insurance Services.,1.0
Samsung,Company,DEVELOPED,OLED display with embedded heart rate sensor,Technology,cf095df30bfa3f72399f::c0000,2023-05-23,Samsung unveils OLED display with embedded heart rate sensor.,1.0
Abdullah bin Amer Alswaha,Person,LEADS,LEAP23,Company,527bd7b919297d10fe32::c0000,2023-02-06,Abdullah bin Amer Alswaha the Minister of Communications and Information Technology (MCIT) during a keynote address ...,1.0
SoftBank,Company,PARTNERED_WITH,Oasys,Company,a7921710420bc70a05c9::c0000,2023-02-16,Gaming Network Oasys Onboards Japan Conglomerate SoftBank as Network Validator.,1.0
Truescope,Company,ACQUIRED,Universal Information Services,Company,6b2df96f0e83997db38c::c0000,2023-02-01,Truescope Acquires US Firm Universal Information Services.,1.0
NTT Data Payment Services,Company,USES,Facctum anti-financial crime technology,Technology,6a641b4b841cad0b7d9f::c0000,2023-05-15,NTT Data Payment Services implements Facctum anti-financial crime technology.,1.0
Transact,Company,PARTNERED_WITH,Talkiatry,Company,55a09cbc43c41ffb2dd9::c0000,2023-09-05,The partnership will 'provide students with access to quality psychiatric services' Talkiatry said.,1.0
Fidelity National Information Services,Company,FOUNDED,Fidelity National Information Services Inc.,Company,076f311078c872e47169::c0000,2023-02-16,Headquartered in Jacksonville Florida Fidelity National Information Services Inc. (NYSE:FIS) is a financial technology solutions provider.,1.0
Doug Twitchell,Person,WORKED_AT,information security,Technology,a03933e5895da5c8ae9e::c0000,2023-04-03,Doug Twitchell has been researching and teaching in information security for 15 years.,1.0
Primoris Services,Company,LEADS,information technology,Technology,67aa550ef842c925d41b::c0000,2023-02-10,Haxton joined Primoris in 2019 as senior vice president of information technology to lead Primoris' digital strategy.,1.0
TOJOY Association for Science and Technology,Technology,PARTNERED_WITH,Beijing Association for Science and Technology,Company,8f32e649facfc0135211::c0000,2023-04-20,The association is comprised of scientific and tech workers within Chinese business accelerator TOJOY and the Beijing Association for Science and Technology's membership.,1.0
NYMBUS,Company,DEVELOPED,financial technology,Technology,a7f48e655bc7a4f4464b::c0000,2023-05-04,NYMBUS® a premier provider of cutting-edge financial technology.,1.0
Syxsense,Company,PARTNERED_WITH,EVOTEK,Company,7212a4fa587f15b9216c::c0000,2023-04-21,Syxsense EVOTEK Partner to Make Endpoint Security Management Easier,1.0
Omantel,Company,PARTNERED_WITH,Huawei,Company,bbc85d5c88e845ee4991::c0000,2023-04-07,Omantel and Huawei host Oman Huawei ICT Academies conference.,1.0
Oman Ministry of Transport Communication and Information Technology,Company,PARTNERED_WITH,Omantel,Company,bbc85d5c88e845ee4991::c0000,2023-04-07,The event was hosted in partnership with the Oman Ministry of Transport Communication and Information Technology and Omantel.,1.0
Patrick Racz,Person,WORKED_AT,Smartflash,Company,198660b5d2a419ac68f2::c0000,2023-04-17,Inventor Patrick Racz claims his Smartflash technology is at the heart of the ...,1.0
Senser,Company,FOUNDED,2021,Technology,125b329c27f612e3fa1d::c0000,2023-09-27,Before launching Senser in 2021,1.0
Krayden,Person,LEADS,Senser,Company,125b329c27f612e3fa1d::c0000,2023-09-27,Krayden and Co-Founders Or Sadeh and Yuval Lev honed their skills as tech leaders at DriveNets.,1.0
SITA,Company,PARTNERED_WITH,Airports Authority of India,Company,70175d5248e739d351ec::c0000,2023-07-14,SITA has been awarded a landmark deal from the Airports Authority of India to provide technology to 43 of India’s airports.,1.0
Carl Petch,Person,LEADS,Telstra Broadcast Services,Company,7cc65480435ad2b2475c::c0000,2023-02-02,Carl Petch is CTO for Telstra Broadcast Services and leads the global Broadcast and Media Engineering and Solutions Architecture teams.,1.0
PDF Solutions Inc.,Company,DEVELOPED,Q3 2022 Earnings Call,Technology,09467c8771a777403cd3::c0000,2022-12-29,PDF Solutions Inc. (NASDAQ:PDFS) Q3 2022 Earnings Call Transcript.,1.0
eologix sensor technology,Technology,PARTNERED_WITH,Ping Services,Company,9bd710fbf37dd4562cae::c0000,2023-05-23,eologix sensor technology and Ping Services announce merger.,1.0
Lessen,Company,ACQUIRED,SMS Assist,Company,b96c11fcaeeb44c59dae::c0000,2023-01-25,Lessen Acquires SMS Assist Signaling A New Era for Property Technology and Services.,1.0
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,a5a8b0ece135c638d4f0::c0000,2023-07-27,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises.,1.0
ServiceNow,Company,PARTNERED_WITH,Accenture,Company,a5a8b0ece135c638d4f0::c0000,2023-07-27,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises.,1.0
Amazon Web Services,Technology,USES,low-code/no-code platforms,Technology,4153ddf8a3ef83ffd227::c0000,2022-12-13,The extraordinary success of Amazon Web Services (AWS) which is used to power many thousands ...,1.0
Elon Musk,Person,ACQUIRED,Twitter,Company,eddaf77d809073096723::c0000,2023-01-02,Here’s who helped Elon Musk buy Twitter.,1.0
SHI International Corp,Company,WORKED_AT,malware attack,Technology,5a4458b64ef130731c71::c0000,2023-08-27,SHI International Corp network was hit by a malware attack over the weekend.,1.0
Ochsner Health,Company,USES,iPhone technology,Technology,c1e072bd863674bef23d::c0000,2023-08-01,Ochsner Health uses iPhone technology to remotely monitor patients.,1.0
Symrise,Company,ACQUIRED,Swedencare,Company,66477a526552e1863d65::c0000,2023-06-05,Symrise AG said on Monday it has made a bid approach for Swedencare AB just days after acquiring a nearly 30% stake in the Swedish pet healthcare firm.,1.0
Honeywell,Company,USES,technology,Technology,1c533bcd1678c3e7ddde::c0000,2023-09-08,Providers such as Honeywell augment those systems with more information during taxi takeoffs and landings.,1.0
JPMorgan,Company,USES,Vestwell's technology,Technology,866e313c0921090ade13::c0000,2023-05-12,JPMorgan Asset Management will be using Vestwell's technology to run JPMorgan Asset Management Everyday 401(k) program.,1.0
IIIT Hyderabad,Company,PARTNERED_WITH,Synergy Quantum India,Company,c688d3f041d2d5915546::c0000,2023-04-03,International Institute of Information Technology Hyderabad (IIITH) has entered a strategic partnership with Synergy Quantum India.,1.0
H.I.G. Capital,Company,ACQUIRED,Synecore Limited,Company,00884876aed18b6025c0::c0000,2023-03-30,H.I.G. Capital announced that one of its affiliates has acquired Synecore Limited.,1.0
H.I.G. Capital,Company,ACQUIRED,Meesons Futures Limited,Company,00884876aed18b6025c0::c0000,2023-03-30,H.I.G. Capital announced that one of its affiliates has acquired Meesons Futures Limited.,1.0
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,531b5c0beb405c822e6c::c0000,2023-05-17,ServiceNow and NVIDIA today announced a partnership to develop powerful enterprise-grade generative AI capabilities.,1.0
Wultra,Company,PARTNERED_WITH,iProov,Company,0a9667e0fa18862d9bc1::c0000,2023-05-10,Wultra and iProov Partner to Bring Biometric Technology to Banks and Financial Services Technology Providers.,1.0
Zoomcar,Company,WORKED_AT,Ashu Singhal,Person,fb0a4f3af474c344139e::c0000,2023-01-10,Zoomcar appoints Ashu Singhal as chief technology and product officer.,1.0
ILUS,Company,FOUNDED,Hyperion Defense Solutions,Company,9bf715f9405417bf650f::c0000,2023-02-13,ILUS co-founded Hyperion Defense Solutions (Hyperion) alongside two experienced and esteemed British military veterans Chris Derbyshire and Tim Grey.,1.0
Chris Derbyshire,Person,WORKED_AT,Hyperion Defense Solutions,Company,9bf715f9405417bf650f::c0000,2023-02-13,Chris Derbyshire and Tim Grey's combined 34 years of military service and 22 years holding senior roles in the defense sector.,1.0
Tim Grey,Person,WORKED_AT,Hyperion Defense Solutions,Company,9bf715f9405417bf650f::c0000,2023-02-13,Chris Derbyshire and Tim Grey's combined 34 years of military service and 22 years holding senior roles in the defense sector.,1.0
Claroty,Company,DEVELOPED,Vulnerability Response Integrations,Technology,127fbbd7afb3d21b8f46::c0000,2023-03-16,Claroty Announces Vulnerability Response Integrations with ServiceNow Service Graph Connector.,1.0
U.S.,Company,USES,decentralized finance services,Technology,4342b297c498728c5864::c0000,2023-05-19,U.S. says decentralized finance services being used for illicit transfers.,1.0
Truescope,Company,ACQUIRED,Universal Information Services,Company,ab151b6a1adfb5f2f0cc::c0000,2023-02-01,Truescope has strengthened its position in North America by acquiring leading agency Universal Information Services (UIS),1.0
Apogee,Company,ACQUIRED,Cumulus Technology Services Inc.,Company,1e5a2e2af17af23526ed::c0000,2023-01-07,Apogee Acquires Cumulus Technology Services Inc. to Enhance Managed Technology Services Leadership Position in Higher Education.,1.0
Syndio,Company,PARTNERED_WITH,Broadridge Financial Solutions,Company,50d4814b02921aac09ce::c0000,2023-01-12,Syndio announced a new partnership today with global Fintech leader Broadridge Financial Solutions.,1.0
Infineon,Company,PARTNERED_WITH,Resonac,Company,3eb3bbec9f72d4fc392e::c0000,2023-01-12,Infineon and Resonac expand cooperation.,1.0
Philips Research,Company,DEVELOPED,tiny magnetic tracking and sensing device,Technology,0857214eada5f4bc8f3b::c0000,2023-06-02,A group of bio-engineers at Philips Research has developed a tiny magnetic tracking and sensing device.,1.0
Synkrato,Company,DEVELOPED,Digital Twin and AI-Driven Logistics,Technology,c348daa0a79b96afab38::c0000,2023-03-15,The latest release of Synkrato Digital Twin and AI-Driven Logistics introduces new capabilities for warehouse optimization.,1.0
Alight Inc.,Company,DEVELOPED,behavioral health navigation services,Technology,fe34ec9a3ba086639dfc::c0000,2023-06-08,Alight Inc. announced the launch of enhanced services to help employees and families navigate complex behavioral health concerns.,1.0
Athersys,Company,DEVELOPED,SIFU Technology,Technology,71ac288d2843834a7e99::c0000,2023-02-28,Athersys Expands IP Protection with First New Patent for SIFU(R) Technology.,1.0
Athersys,Company,DEVELOPED,MultiStem(R),Technology,71ac288d2843834a7e99::c0000,2023-02-28,a cell therapy and regenerative medicine company developing MultiStem(R) (invimestrocel),1.0
SYNLAB,Company,INVESTED_IN,Healthcare Centre in Florence,Technology,f9211f06d503f61f9f0e::c0000,2023-06-28,SYNLAB invests in innovative Healthcare Centre in Florence.,1.0
IIIT Hyderabad,Company,PARTNERED_WITH,Synergy Quantum,Company,c8103d8f650a6b0dd81c::c0000,2023-04-04,IIIT Hyderabad partners with Synergy Quantum; launches Synergy Quantum Solution Lab.,1.0
Samantha Rajapaksa,Person,WORKED_AT,EY Global Delivery Services,Company,98a29288a380434fe2cb::c0000,2023-05-18,Samantha Rajapaksa joins EY Global Delivery Services as Sri Lanka Location & Consulting Leader.,1.0
Orion Innovation,Company,ACQUIRED,Sryas Inc,Company,cfc116b714f7ac4b1f13::c0000,2023-02-17,Orion Innovation acquires Sryas Inc for an 'undisclosed sum'.,1.0
AutomationEdge,Company,PARTNERED_WITH,eAlliance Corp,Company,a3257fd6c94538cc3bb0::c0000,2023-07-31,AutomationEdge and eAlliance Corp announced partnership for Hyperautomation solutions.,1.0
PSG,Company,DEVELOPED,BioProTT™ FlowSU System,Technology,914dda9bf5da53b8f0ee::c0000,2023-05-10,PSG Launches New and Updated Flow-Sensor and Flow-Measurement Technologies.,1.0
PSG,Company,DEVELOPED,SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter,Technology,914dda9bf5da53b8f0ee::c0000,2023-05-10,PSG Launches New and Updated Flow-Sensor and Flow-Measurement Technologies.,1.0
Biz Technology Solutions,Company,PARTNERED_WITH,New Charter Technologies,Company,951a3c9eb3e42ebee74e::c0000,2023-04-24,the recent partnership between Biz Technology Solutions and New Charter Technologies.,1.0
Integrated Water Services,Company,ACQUIRED,Hyperion International Technologies,Company,104393b197a54876f491::c0000,2023-03-07,Integrated Water Services Inc. recently acquired Hyperion International Technologies.,1.0
L&T Technology Services,Company,PARTNERED_WITH,Qualcomm,Company,201da7854b95e5ee4a3a::c0000,2023-02-23,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks.,1.0
Sensormatic Solutions,Company,WORKED_AT,Johnson Controls,Company,3ce400e63d38df552517::c0000,2023-01-11,Sensormatic Solutions the leading global retail solutions portfolio of Johnson Controls.,1.0
L&T Technology Services,Company,DEVELOPED,L&T Technology Services March quarter scorecard,Technology,da8a398d2b05e0e0328e::c0000,2023-04-27,L&T Technology Services released L&T Technology Services March quarter scorecard.,1.0
NZTE,Company,LEADS,Phil Hayward,Person,2fb8b754e37415a5965a::c0000,2023-04-27,NZTE’s director for information technology and services Phil Hayward says the organisation has been using videoconferencing.,1.0
Service Express,Company,ACQUIRED,ServIQ,Company,9c13e3a847465ab9b5cc::c0000,2023-03-07,Service Express Acquires Data Center Support Provider ServIQ.,1.0
Aeris,Company,ACQUIRED,Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,Technology,e0ebf26fe86416644315::c0000,2023-01-18,Aeris has acquired Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses.,1.0
STMicroelectronics,Company,PARTNERED_WITH,Sanan Optoelectronics,Company,06de57f74b88a373aabc::c0000,2023-06-07,STMicroelectronics and Sanan Optoelectronics said they are forming a semiconductor-manufacturing joint venture.,1.0
DLH,Company,ACQUIRED,GRSi,Company,c529d3b8a38f6ead8606::c0000,2022-12-09,DLH Strengthens Information Technology and Cyber Capabilities through Acquisition of GRSi.,1.0
Mukunda Penugonde,Person,WORKED_AT,GSA,Company,e8bba5749f22a824d36b::c0000,2023-04-12,Mukunda Penugonde joined TTS in the role on April 10 joining from the private.,1.0
